'[17:07:29.564]',0.480,0.425,1.065,0.199,1.481,63.380
'[17:07:29.572]',0.485,0.425,1.075,0.200,1.474,63.067
'[17:07:29.580]',0.490,0.425,1.081,0.202,1.467,62.755
'[17:07:29.588]',0.500,0.420,1.085,0.203,1.460,62.481
'[17:07:29.596]',0.505,0.415,1.095,0.205,1.454,62.169
'[17:07:29.604]',0.510,0.415,1.105,0.207,1.446,61.934
'[17:07:29.612]',0.520,0.405,1.121,0.209,1.437,61.661
'[17:07:29.620]',0.530,0.400,1.135,0.211,1.426,61.426
'[17:07:29.628]',0.540,0.395,1.161,0.213,1.413,61.192
'[17:07:29.636]',0.550,0.385,1.186,0.216,1.400,60.918
'[17:07:29.644]',0.560,0.380,1.215,0.218,1.388,60.684
'[17:07:29.652]',0.565,0.375,1.250,0.222,1.376,60.410
'[17:07:29.660]',0.575,0.365,1.275,0.225,1.362,60.098
'[17:07:29.668]',0.585,0.360,1.295,0.229,1.344,59.863
'[17:07:29.676]',0.600,0.355,1.305,0.234,1.325,59.668
'[17:07:29.684]',0.610,0.350,1.291,0.239,1.305,59.746
'[17:07:29.692]',0.620,0.350,1.266,0.244,1.284,60.567
'[17:07:29.700]',0.625,0.345,1.226,0.249,1.264,62.794
'[17:07:29.708]',0.620,0.340,1.170,0.255,1.245,66.975
'[17:07:29.716]',0.620,0.345,1.110,0.259,1.227,72.992
'[17:07:29.724]',0.610,0.350,1.041,0.264,1.209,79.948
'[17:07:29.732]',0.595,0.355,0.976,0.268,1.193,87.177
'[17:07:29.740]',0.580,0.365,0.915,0.273,1.176,94.601
'[17:07:29.748]',0.570,0.375,0.870,0.276,1.163,102.103
'[17:07:29.756]',0.555,0.380,0.835,0.280,1.153,109.176
'[17:07:29.764]',0.545,0.385,0.815,0.284,1.141,114.998
'[17:07:29.772]',0.535,0.395,0.800,0.287,1.128,119.414
'[17:07:29.780]',0.525,0.400,0.795,0.290,1.115,122.305
'[17:07:29.788]',0.520,0.405,0.795,0.293,1.105,123.751
'[17:07:29.796]',0.515,0.410,0.795,0.296,1.094,124.064
'[17:07:29.804]',0.515,0.405,0.800,0.299,1.085,123.438
'[17:07:29.812]',0.520,0.405,0.800,0.300,1.077,122.188
'[17:07:29.820]',0.525,0.405,0.805,0.301,1.070,120.430
'[17:07:29.828]',0.530,0.405,0.811,0.301,1.064,118.320
'[17:07:29.836]',0.530,0.405,0.811,0.301,1.057,116.053
'[17:07:29.844]',0.530,0.405,0.815,0.300,1.055,113.748
'[17:07:29.852]',0.530,0.405,0.815,0.299,1.054,111.560
'[17:07:29.860]',0.530,0.410,0.815,0.298,1.052,109.450
'[17:07:29.868]',0.530,0.405,0.815,0.296,1.050,107.418
'[17:07:29.876]',0.525,0.405,0.815,0.295,1.049,105.503
'[17:07:29.884]',0.525,0.405,0.811,0.293,1.049,103.666
'[17:07:29.892]',0.525,0.405,0.811,0.291,1.049,101.791
'[17:07:29.900]',0.520,0.405,0.805,0.290,1.048,99.798
'[17:07:29.908]',0.525,0.405,0.800,0.288,1.047,97.610
'[17:07:29.916]',0.525,0.405,0.800,0.286,1.044,95.304
'[17:07:29.924]',0.525,0.410,0.800,0.284,1.042,92.882
'[17:07:29.932]',0.525,0.410,0.800,0.282,1.045,90.303
'[17:07:29.940]',0.525,0.410,0.800,0.280,1.059,87.880
'[17:07:29.948]',0.520,0.415,0.800,0.279,1.083,85.614
'[17:07:29.956]',0.520,0.410,0.795,0.277,1.126,83.543
'[17:07:29.964]',0.520,0.405,0.795,0.276,1.199,81.745
'[17:07:29.972]',0.520,0.405,0.795,0.275,1.307,80.182
'[17:07:29.980]',0.525,0.405,0.795,0.274,1.450,78.854
'[17:07:29.988]',0.525,0.405,0.790,0.273,1.622,77.799
'[17:07:29.996]',0.525,0.405,0.790,0.273,1.813,76.978
'[17:07:30.004]',0.525,0.410,0.795,0.272,2.014,76.431
'[17:07:30.012]',0.525,0.415,0.795,0.271,2.212,76.118
'[17:07:30.020]',0.525,0.410,0.795,0.271,2.398,75.923
'[17:07:30.028]',0.525,0.405,0.795,0.271,2.562,75.806
'[17:07:30.036]',0.525,0.405,0.795,0.271,2.700,75.806
'[17:07:30.044]',0.525,0.405,0.795,0.271,2.798,75.884
'[17:07:30.052]',0.525,0.405,0.795,0.271,2.865,76.001
'[17:07:30.060]',0.530,0.405,0.795,0.272,2.920,76.040
'[17:07:30.068]',0.540,0.395,0.800,0.273,2.957,76.118
'[17:07:30.076]',0.565,0.385,0.815,0.274,2.977,76.118
'[17:07:30.084]',0.585,0.370,0.830,0.276,2.979,76.040
'[17:07:30.092]',0.605,0.360,0.840,0.277,2.969,75.923
'[17:07:30.100]',0.615,0.355,0.845,0.278,2.947,75.728
'[17:07:30.108]',0.635,0.350,0.851,0.279,2.917,75.571
'[17:07:30.116]',0.650,0.345,0.815,0.280,2.880,75.298
'[17:07:30.124]',0.655,0.345,0.785,0.281,2.837,74.946
'[17:07:30.132]',0.645,0.350,0.771,0.282,2.790,74.634
'[17:07:30.140]',0.620,0.355,0.766,0.283,2.740,74.243
'[17:07:30.148]',0.590,0.375,0.771,0.284,2.689,73.735
'[17:07:30.156]',0.545,0.400,0.775,0.286,2.636,73.227
'[17:07:30.164]',0.505,0.420,0.775,0.287,2.577,72.680
'[17:07:30.172]',0.490,0.430,0.780,0.289,2.510,72.055
'[17:07:30.180]',0.480,0.440,0.780,0.291,2.437,71.429
'[17:07:30.188]',0.480,0.440,0.780,0.292,2.359,70.804
'[17:07:30.196]',0.480,0.445,0.790,0.294,2.277,70.179
'[17:07:30.204]',0.480,0.445,0.815,0.295,2.193,69.632
'[17:07:30.212]',0.540,0.420,0.825,0.296,2.108,69.124
'[17:07:30.220]',0.675,0.325,0.670,0.297,2.024,68.616
'[17:07:30.228]',0.880,0.165,0.300,0.298,1.945,68.108
'[17:07:30.236]',1.010,0.040,-0.101,0.299,1.871,67.756
'[17:07:30.244]',0.896,0.030,-0.250,0.299,1.809,67.287
'[17:07:30.252]',0.625,0.245,-0.146,0.300,1.758,66.858
'[17:07:30.260]',0.435,0.400,0.075,0.300,1.707,66.506
'[17:07:30.268]',0.400,0.465,0.370,0.301,1.661,66.115
'[17:07:30.276]',0.435,0.470,0.686,0.301,1.622,65.724
'[17:07:30.284]',0.460,0.450,0.896,0.301,1.589,65.373
'[17:07:30.292]',0.465,0.450,0.980,0.301,1.563,64.982
'[17:07:30.300]',0.465,0.450,1.021,0.301,1.543,64.630
'[17:07:30.308]',0.465,0.450,1.041,0.301,1.527,64.318
'[17:07:30.316]',0.470,0.445,1.055,0.301,1.514,64.005
'[17:07:30.324]',0.475,0.445,1.061,0.301,1.503,63.732
'[17:07:30.332]',0.480,0.445,1.065,0.301,1.495,63.497
'[17:07:30.340]',0.485,0.440,1.070,0.301,1.487,63.224
'[17:07:30.348]',0.495,0.425,1.081,0.301,1.481,62.911
'[17:07:30.356]',0.505,0.420,1.085,0.301,1.475,62.559
