'[14:25:35.760]',0.299,0.699,0.590,0.105,0.758,66.688
'[14:25:35.768]',0.315,0.695,0.595,0.107,0.750,66.297
'[14:25:35.776]',0.355,0.686,0.565,0.110,0.738,65.906
'[14:25:35.784]',0.445,0.664,0.510,0.111,0.724,65.319
'[14:25:35.792]',0.555,0.629,0.435,0.113,0.708,64.928
'[14:25:35.800]',0.625,0.584,0.369,0.116,0.691,64.537
'[14:25:35.808]',0.420,0.619,0.425,0.117,0.674,63.950
'[14:25:35.816]',0.000,0.795,0.560,0.119,0.655,63.559
'[14:25:35.824]',0.000,0.969,0.600,0.121,0.635,63.168
'[14:25:35.832]',0.000,0.990,0.575,0.122,0.617,62.777
'[14:25:35.840]',0.100,0.844,0.605,0.122,0.598,62.190
'[14:25:35.848]',0.245,0.744,0.665,0.124,0.582,61.799
'[14:25:35.856]',0.305,0.699,0.695,0.124,0.565,61.408
'[14:25:35.864]',0.325,0.689,0.709,0.125,0.550,61.213
'[14:25:35.872]',0.335,0.680,0.720,0.124,0.537,60.821
'[14:25:35.880]',0.340,0.680,0.720,0.124,0.524,60.430
'[14:25:35.888]',0.344,0.670,0.720,0.124,0.513,60.039
'[14:25:35.896]',0.350,0.670,0.720,0.124,0.503,59.844
'[14:25:35.904]',0.355,0.670,0.720,0.122,0.497,59.452
'[14:25:35.912]',0.365,0.664,0.725,0.122,0.490,59.061
'[14:25:35.920]',0.370,0.664,0.730,0.122,0.483,58.866
'[14:25:35.928]',0.370,0.660,0.740,0.122,0.477,58.475
'[14:25:35.936]',0.380,0.654,0.745,0.122,0.470,58.279
'[14:25:35.944]',0.385,0.650,0.745,0.122,0.464,57.888
'[14:25:35.952]',0.389,0.650,0.745,0.122,0.458,57.692
'[14:25:35.960]',0.395,0.650,0.745,0.124,0.453,57.301
'[14:25:35.968]',0.400,0.650,0.745,0.125,0.448,56.910
'[14:25:35.976]',0.405,0.645,0.735,0.127,0.442,56.715
'[14:25:35.984]',0.415,0.645,0.725,0.130,0.435,56.323
'[14:25:35.992]',0.430,0.635,0.720,0.131,0.429,56.128
'[14:25:36.000]',0.435,0.629,0.716,0.134,0.424,55.737
'[14:25:36.008]',0.440,0.625,0.716,0.136,0.419,55.541
'[14:25:36.016]',0.450,0.625,0.720,0.139,0.414,55.346
'[14:25:36.024]',0.455,0.625,0.709,0.141,0.409,55.346
